text,track_name,track_artist,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"You can dance, you can jive, having the time of your life  
See that girl, watch that scene, diggin' the Dancing Queen  
  
Friday night and the lights are low  
Looking out for the place to go  
Where they play the right music, getting in the swing  
You come in to look for a king  
Anybody could be that guy  
Night is young and the music's high  
With a bit of rock music, everything is fine  
You're in the mood for a dance  
And when you get the chance  
  
You are the Dancing Queen, young and sweet, only seventeen  
Dancing Queen, feel the beat from the tambourine  
You can dance, you can jive, having the time of your life  
See that girl, watch that scene, diggin' the Dancing Queen  
  
You're a teaser, you turn 'em on  
Leave them burning and then you're gone  
Looking out for another, anyone will do  
You're in the mood for a dance  
And when you get the chance  
  
You are the Dancing Queen, young and sweet, only seventeen  
Dancing Queen, feel the beat from the tambourine  
You can dance, you can jive, having the time of your life  
See that girl, watch that scene, diggin' the Dancing Queen

",Dancing Queen,ABBA,72,latin,latin hip hop,0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,230693
"[Verse 1]  
Hello, it's me  
I was wondering if after all these years  
You'd like to meet, to go over  
Everything  
They say that time's supposed to heal ya  
But I ain't done much healing  
  
Hello, can you hear me?  
I'm in California dreaming about who we used to be  
When we were younger and free  
I've forgotten how it felt before the world fell at our feet  
  
[Pre-Chorus 1]  
There's such a difference between us  
And a million miles  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore  
  
[Verse 2]  
Hello, how are you?  
It's so typical of me to talk about myself  
I'm sorry, I hope that you're well  
Did you ever make it out of that town  
Where nothing ever happened?  
  
[Pre-Chorus 2]  
It's no secret  
That the both of us are running out of time  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore  
  
[Bridge]  
Ooooohh, anymore  
Ooooohh, anymore  
Ooooohh, anymore  
Anymore  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore

",Hello,Adele,73,pop,electropop,0.47,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98,295502
"I heard, that you're settled down  
That you found a girl and you're, married now  
  
I heard, that your dreams came true  
I guess she gave you things  
I didn't give to you  
  
Old friend, why are you so shy  
Ain't like you to hold back  
Or hide from the light  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I had hoped you'd see my face  
And that you be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best  
For you too, don't forget me  
I beg, I'll remember you say  
Sometimes it lasts in love  
But sometimes it hurts instead  
Sometimes it lasts in love  
But sometimes it hurts instead yeah  
  
You know how the time flies  
Only yesterday it was the time of our lives  
We were born and raised  
In a summer haze bound by the surprise  
Of our glory days  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I hoped you'd see my face  
And that you'd be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Nothing compares no worries or cares  
Regrets and mistakes their memories made  
Who would have known how bittersweet  
This would taste  
  
Never mind I'll find someone like you  
I wish nothing but the best for you  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Sometimes it lasts in love but sometimes it hurts instead

",Someone Like You,Adele,79,pop,dance pop,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,285240
"I heard, that you're settled down  
That you found a girl and you're, married now  
  
I heard, that your dreams came true  
I guess she gave you things  
I didn't give to you  
  
Old friend, why are you so shy  
Ain't like you to hold back  
Or hide from the light  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I had hoped you'd see my face  
And that you be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best  
For you too, don't forget me  
I beg, I'll remember you say  
Sometimes it lasts in love  
But sometimes it hurts instead  
Sometimes it lasts in love  
But sometimes it hurts instead yeah  
  
You know how the time flies  
Only yesterday it was the time of our lives  
We were born and raised  
In a summer haze bound by the surprise  
Of our glory days  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I hoped you'd see my face  
And that you'd be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Nothing compares no worries or cares  
Regrets and mistakes their memories made  
Who would have known how bittersweet  
This would taste  
  
Never mind I'll find someone like you  
I wish nothing but the best for you  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Sometimes it lasts in love but sometimes it hurts instead

",Someone Like You,Adele,79,pop,electropop,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,285240
"I heard, that you're settled down  
That you found a girl and you're, married now  
  
I heard, that your dreams came true  
I guess she gave you things  
I didn't give to you  
  
Old friend, why are you so shy  
Ain't like you to hold back  
Or hide from the light  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I had hoped you'd see my face  
And that you be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best  
For you too, don't forget me  
I beg, I'll remember you say  
Sometimes it lasts in love  
But sometimes it hurts instead  
Sometimes it lasts in love  
But sometimes it hurts instead yeah  
  
You know how the time flies  
Only yesterday it was the time of our lives  
We were born and raised  
In a summer haze bound by the surprise  
Of our glory days  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I hoped you'd see my face  
And that you'd be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Nothing compares no worries or cares  
Regrets and mistakes their memories made  
Who would have known how bittersweet  
This would taste  
  
Never mind I'll find someone like you  
I wish nothing but the best for you  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Sometimes it lasts in love but sometimes it hurts instead

",Someone Like You,Adele,79,latin,latin hip hop,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,285240
"Good evening people, welcome to the show  
Got something here I want you all to know  
When laughin' people bring on primal screams  
You got to think of what it's gonna take to make your dreams  
Make it  
Don't break it  
I said make it  
Don't break it  
Do then ya feel like the world's coming down on you  
You know that history repeats itself  
But you just learned so by somebody else  
You know you do, you gotta think up fast  
You gotta figure what it's gonna take to make it last  
Make it  
Don't fake it  
Said make it  
Don't fake it  
Better weather, pull yourself together  
Don't be catchin' the blues  
Better weather, pull yourself together  
What have you got to lose  
You're only paying your dues  
If you're gone I'll get you anyway  
Although you know what you've been going through

",Make It,Aerosmith,45,rock,album rock,0.553,0.685,0,-10.981,1,0.0275,0.0151,0.149,0.19,0.57,137.898,218960
"Rag doll, livin' in a movie  
Hot tramp, daddy's little cutie  
You're so fine, they'll never see ya leavin' by the back door, mam  
Hot time get it while it's easy  
Don't mind come on up and see me  
Rag doll baby won't you do me like you done before  
I'm feelin' like a bad boy  
Mm just a like a bad boy  
I'm rippin' up a Rag Doll  
Like throwin' away an old toy  
Some babe's talkin' real loud  
Talkin' all about the new crowd  
Try and tell me of an old dream  
A new version of the old scene  
Speak easy on the grape vine  
Keep shufflin' in a shoe shine  
Old tin lizzy do it till you're dizzy  
Give it all ya got until you're put out of your misery  
Rag doll, livin' in a movie  
Hot tramp, daddy's little cutie  
You're so fine, they'll never see ya leavin' by the back door, mam  
Hot time get it while it's easy  
Don't mind come on up and see me  
Rag doll baby won't you do me like you done before  
Yes I'm movin'  
Yes I'm movin'  
Get ready for the big time  
Tap dancing on a land mine  
Yes I'm movin'  
Yes I'm movin'  
Old tin lizzy do it till you're dizzy  
Give it all ya got until you're put out of your misery  
Rag doll livin' in a movie  
Hot tramp Daddy's little cutie  
You're so fine they'll never see ya leavin' by the back door, mam  
Hot time get it while it's easy  
Don't mind come on up and see me  
Rag doll, baby won't ya do me, baby won't ya do me,  
Baby won't ya do me like you done before  
Yes I'm movin'  
Yes I'm movin'  
Get ready for the big time  
Get crazy on the moon shine  
Yes I'm movin'  
I'm really movin'  
Sloe Gin Fizzy, do it till you're dizzy  
Give it all ya got until you're put out of your misery  
Rag doll, livin' in a movie  
Hot tramp, daddy's little cutie  
You're so fine, they'll never see ya leavin' by the back door, mam  
Hot time get it while it's easy  
Don't mind come on up and see me  
Rag doll baby won't you do me like you done before  
Rag doll, livin' in a movie  
Hot tramp, daddy's little cutie  
You're so fine, they'll never see ya leavin' by the back door, mam  
Hot time get it while it's easy  
Don't mind come on up and see me  
Rag doll baby won't you do me like you done before

",Rag Doll,Aerosmith,24,rock,classic rock,0.594,0.935,4,-4.796,1,0.049,0.537,0.0,0.0836,0.675,93.448,264947
"Sweet emotion  
Sweet emotion  
  
You talk about things that nobody cares  
You're wearing out things that nobody wears  
You're calling my name but I gotta make clear  
I can't say baby where I'll be in a year  
  
Yeah yeah yeah yeah  
  
When some sweet hog mama with a face like a gent  
Said my get up and go must've got up and went  
Well I got good news, she's a real good liar  
'Cause the backstage boogie set your pants on fire  
  
Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah  
  
Sweet emotion  
Sweet emotion  
  
When I pulled into town in a police car  
Your daddy said I took it just a little too far  
You're telling me things but your girlfriend lied  
You can't catch me 'cause the rabbit done died  
Yes it did  
  
You stand in the front just a shakin' your ass  
I'll take you backstage, you can drink from my glass  
Your telling me things I can sure understand  
'Cause a month on the road an' I'll be eating from your hand

",Sweet Emotion,Aerosmith,73,rock,classic rock,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133
"Sweet emotion  
Sweet emotion  
  
You talk about things that nobody cares  
You're wearing out things that nobody wears  
You're calling my name but I gotta make clear  
I can't say baby where I'll be in a year  
  
Yeah yeah yeah yeah  
  
When some sweet hog mama with a face like a gent  
Said my get up and go must've got up and went  
Well I got good news, she's a real good liar  
'Cause the backstage boogie set your pants on fire  
  
Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah  
  
Sweet emotion  
Sweet emotion  
  
When I pulled into town in a police car  
Your daddy said I took it just a little too far  
You're telling me things but your girlfriend lied  
You can't catch me 'cause the rabbit done died  
Yes it did  
  
You stand in the front just a shakin' your ass  
I'll take you backstage, you can drink from my glass  
Your telling me things I can sure understand  
'Cause a month on the road an' I'll be eating from your hand

",Sweet Emotion,Aerosmith,73,rock,hard rock,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133
"In the attic lights  
Voices scream  
Nothing's seen  
Real's a dream  
  
Leaving the things that are real behind  
Leaving the things that you love from mind  
All of the things that you learned from fears  
Nothing is left for the years  
  
Voices scream  
Nothing's seen  
Real's a dream  
  
[Chorus:]  
Toys, toys, toys in the attic  
Toys, toys, toys in the attic  
Toys, toys, toys in the attic  
Toys, toys, toys in the attic  
  
Lights  
Voices scream  
Nothing's seen  
Real's a dream  
  
Leaving the things that are real behind  
Leaving the things that you love from mind  
All of the things that you learned from fears  
Nothing is left for the years  
  
Voices scream  
Nothing's seen  
Real's a dream  
  
[Chorus]  
  
(Yayayayayayayow!)

",Toys In The Attic,Aerosmith,52,rock,album rock,0.219,0.928,11,-9.997,0,0.0697,0.001,2.43e-06,0.341,0.446,197.462,185133
