word,count
fuck,2280
hoes,91
get,9279
grip,136
motherfucker,255
yeah,11256
album,33
dedicated,21
teachers,15
told,1243
would,7407
never,9858
amount,20
nothing,4064
people,1569
lived,206
buildings,11
hustlin,8
front,394
called,440
police,129
tryin,326
make,6735
money,1191
feed,308
daughter,113
good,3462
niggas,509
struggle,103
know,16217
sayin,182
baby,6172
dream,1523
used,1227
read,338
word,594
magazine,46
salt-n-pepa,1
heavy,380
limousine,15
hangin,101
pictures,109
wall,515
every,4324
saturday,219
rap,117
attack,170
mr,452
magic,301
marley,13
marl,1
let,8990
tape,33
rock,1131
til,1189
popped,31
smokin,51
weed,110
bamb,1
sippin,67
private,31
stock,28
way,6998
back,6695
red,859
black,1327
lumberjack,1
hat,66
match,109
remember,1596
rappin,15
duke,3
duh-ha,2
thought,1587
hip-hop,42
take,7027
far,1542
limelight,10
rhyme,114
tight,459
time,9501
paid,196
blow,457
like,15944
world,4191
trade,93
born,825
sinner,62
opposite,30
winner,43
eat,370
sardines,1
dinner,47
peace,489
ron,4
brucie,1
kid,299
capri,3
funkmaster,1
flex,65
lovebug,6
starski,1
blowin,47
call,2653
crib,50
number,361
hood,116
nigga,603
well,3273
clothes,248
hold,2902
bankrolls,3
haha,77
reach,507
stars,894
goal,53
c'mon,250
many,1015
one,9365
give,5043
plenty,71
check,498
made,2210
change,1697
common,78
thief,35
close,1434
personal,75
robin,7
leach,1
cheap,129
smoke,387
skunk,7
peeps,15
day,4584
spread,191
love,15878
brooklyn,46
mot,15
aliz,1
keep,4021
pissy,1
girls,686
diss,52
write,358
letters,99
miss,949
could,6140
happen,317
rapping,13
stuff,148
packing,19
gats,4
honeys,10
play,1590
butter,45
toast,59
mississippi,44
east,122
coast,115
condos,1
queens,26
indo,3
weeks,67
sold,186
seats,27
hear,2346
biggie,51
smalls,5
speak,484
living,1167
life,6254
without,2020
fear,1023
puttin,44
five,273
karats,2
girl,3459
ear,137
lunches,1
brunches,1
interviews,5
pool,72
considered,14
fool,673
dropped,78
high,1925
school,266
stereotypes,1
male,5
misunderstood,37
still,3982
mansions,5
94,6
super,167
nintendo,11
sega,2
genesis,7
dead,1635
broke,406
man,3951
picture,324
50-inch,1
screen,113
money-green,1
leather,67
sofa,18
got,11641
two,1373
rides,45
chauffeur,5
phone,533
bill,55
s,44
flat,71
need,5423
worry,339
accountant,8
handles,1
whole,886
crew,135
loungin,3
celebrating,11
public,32
housin,1
thinkin,197
one-room,1
shack,18
mom,131
pimps,3
ac,21
minks,1
loves,376
show,2077
course,101
smiles,87
face,2378
source,40
fuss,38
landlord,7
dissed,4
us,5334
heat,259
wonder,647
christmas,1137
missed,188
birthdays,3
worst,294
days,1527
sip,68
champagne,80
thirsty,25
uh,1055
damn,623
right,5101
live,2400
went,647
negative,47
positive,25
represent,66
representin,4
b-town,1
house,737
junior,10
mafia,7
mad,501
flavor,26
bad,1729
boy,1514
aight,9
see,8400
cooch,2
shit,1594
bust,113
ass,302
none,336
motherfucking,72
joke,96
talking,486
yo,776
old,1662
dirty,345
bastard,57
one-man,3
army,112
ason,2
tooken,2
mc,66
looking,1279
drop,543
science,102
cosby,4
dropping,22
babies,44
enough,1475
go,9752
crazy,965
g-building,1
taking,528
types,8
medicines,2
better,2808
planets,24
orbit,11
coming,1581
deeper,185
break,1707
shake,643
create,72
tastykake,1
makes,823
style,307
mastered,6
catching,38
headaches,9
aspirin,1
type,175
pain,1880
even,2129
kill,1034
midol,1
around,3190
sprayed,3
lysol,1
mace,2
burning,771
learning,111
profile,4
fucking,1134
chk-chk,3
blaow,6
last,2120
seen,852
heard,663
knows,732
forget,1066
quiet,223
kept,232
knew,1116
lot,583
want,13853
shot,495
came,1067
showdown,6
watched,164
put,2105
low,705
zero,101
doubt,323
figure,195
zoo,52
pull,776
gun,570
trigger,99
said,3247
outta,251
utmost,9
stacks,18
jack,169
wack,22
host,39
introducing,4
name,1744
drops,64
head,2673
rain,1034
rains,74
pours,18
rhymes,48
hardcore,34
raw,101
talent,20
rizzock,1
spot,128
mcs,3
hot,586
woah-ho-ho,2
slow,792
flow,237
move,1426
quick,185
oh,13791
homicidal,4
enter,61
target,64
act,326
pig,63
try,2210
hog,7
mics,7
suck,152
dick,203
step,628
rep,25
blown,77
death,1240
knock-knock-knock,1
,629
another,2456
hard,2092
slacking,3
macking,1
lack,70
react,23
bring,1257
shame,426
aw,74
sing,1385
something,2810
pussy,438
ooh,3433
shimmy,28
ya,1443
yam,12
yay,29
mic,55
away,6068
natural,79
charge,50
bon-voyage,3
home,3103
dodger,3
squad,63
wu-tang,3
killer,208
bees,33
swarm,30
college-ass,4
disco,70
dorm,4
touch,1005
skill,16
bee,41
aim,91
chop,86
pass,447
lyrics,59
cement,28
ground,1040
emcee,3
fifty-two,4
states,26
psycho,90
norman,7
bates,3
producer,13
slam,87
bam,131
jump,303
stage,146
dip,57
talk,1250
going,7174
shi-shimmy,5
shi-shi,1
additional,2
extended,7
verse,151
say,7522
likes,125
keepin,42
floor,702
odb,1
beat,781
ladies,111
tell,5055
comes,1208
rocks,94
sitin,1
dock,9
bay,65
aiyaiyaiyaiyaiyaiyaiy,1
umm,16
flock,30
goooooo,1
creak,6
locked,181
padlocked,1
come,7246
ayo,30
blackit,1
begin,266
yeahstraight,1
fuckin,411
dungeons,3
fake,346
start,1414
yonow,1
rappers,30
monkey,65
flip,73
funky,87
rhythm,195
kickin,36
musician,1
inflictin,1
composition,3
scarface,2
sniffin,3
cocaine,87
holdin,217
m16,2
pen,64
extreme,28
bullet,146
holes,83
left,2433
peepholes,1
suited,2
street,564
hand,1648
defeat,69
foes,13
steelo,7
airplay,1
j,2
sittin,110
bent,35
stairway,9
either,96
corner,236
bettin,2
grants,1
cee-lo,2
champs,1
laughin,31
base-heads,1
tryna,479
sell,195
broken,1189
amps,8
g-packs,1
forever,2162
reminiscin,3
task,18
force,212
flipped,15
runnin,289
block,124
shootin,36
revolution,121
catch,544
body,1394
houston,9
caught,486
off-guard,1
mac-10,2
grass,123
ran,221
cheetah,5
thoughts,475
assassin,29
picked,58
mac,15
brothers,159
spit,166
lead,426
hittin,25
back-flip,1
chicks,30
scream,418
arm,132
shook,68
look,3168
gave,809
squeeze,108
click,51
stuck,421
tried,789
cock,62
shoot,355
danger,125
finally,493
pulled,140
saw,781
three,614
bullets,98
chamber,20
jettin,1
buildin,7
lobby,12
full,732
children,432
prob'ly,1
game,700
younger,81
pullin,33
triggers,11
bringin,20
fame,147
claim,98
corners,31
crews,6
guns,169
goners,1
broad,28
daylight,99
stick-up,3
kids,383
run,2785
45s,1
gauges,1
fact,165
back-to-back,1
snatchin,5
cracks,70
snitch,9
gettin,302
knocked,88
stash,15
coke,57
price,217
crackhead,11
nice,498
customers,3
measuring,2
pots,11
slide,108
vacation,64
inside,2493
information,26
keeps,375
large,21
erasin,1
wives,10
basin,1
deep,1202
breath,711
sleep,1179
cousin,38
beyond,337
walls,464
intelligence,10
defined,19
think,4151
crime,190
new,2227
york,134
state,297
mind,3712
dreams,1114
gangsta,66
drinkin,79
mots,1
tec,48
makin,185
sure,829
cash,185
correct,26
stepped,47
investments,1
stocks,4
sewin,1
blocks,21
winnin,78
gunfights,1
mega-cops,1
walkin,123
finger,169
figures,15
pockets,44
bigger,155
brother,287
testin,9
smith,18
wesson,10
undressin,4
buddha,4
shelter,112
whenever,182
frustrated,6
hijack,7
delta,9
pj,15
blend,22
plays,91
strays,12
young,937
bitches,256
grazed,2
maze,30
rats,30
trapped,125
plus,87
