Student_ID,Gender,Academic_Level,Avg_Daily_Usage_Hours,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Most_Used_Platform_Instagram,Most_Used_Platform_KakaoTalk,Most_Used_Platform_LINE,Most_Used_Platform_LinkedIn,Most_Used_Platform_Snapchat,Most_Used_Platform_TikTok,Most_Used_Platform_Twitter,Most_Used_Platform_VKontakte,Most_Used_Platform_WeChat,Most_Used_Platform_WhatsApp,Most_Used_Platform_YouTube,Relationship_Status_In Relationship,Relationship_Status_Single
1,0,1,5.2,1,6.5,6,3,8,True,False,False,False,False,False,False,False,False,False,False,True,False
2,1,2,2.1,0,7.5,8,0,3,False,False,False,False,False,False,True,False,False,False,False,False,True
3,0,1,6.0,1,5.0,5,4,9,False,False,False,False,False,True,False,False,False,False,False,False,False
4,1,0,3.0,0,7.0,7,1,4,False,False,False,False,False,False,False,False,False,False,True,False,True
5,1,2,4.5,1,6.0,6,2,7,False,False,False,False,False,False,False,False,False,False,False,True,False
6,0,1,7.2,1,4.5,4,5,9,True,False,False,False,False,False,False,False,False,False,False,False,False
7,1,2,1.5,0,8.0,9,0,2,False,False,False,True,False,False,False,False,False,False,False,False,True
8,0,1,5.8,1,6.0,6,2,8,False,False,False,False,True,False,False,False,False,False,False,True,False
9,1,0,4.0,0,6.5,7,1,5,False,False,False,False,False,True,False,False,False,False,False,False,True
10,0,2,3.3,0,7.0,7,1,4,True,False,False,False,False,False,False,False,False,False,False,True,False
11,1,1,4.8,1,6.2,5,3,7,False,False,False,False,True,False,False,False,False,False,False,False,False
12,0,1,5.5,1,5.8,6,2,8,False,False,False,False,False,True,False,False,False,False,False,True,False
13,1,2,2.8,0,7.2,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,True
14,0,0,6.5,1,5.5,5,4,9,True,False,False,False,False,False,False,False,False,False,False,False,True
15,1,1,3.7,0,6.8,7,2,5,False,False,False,False,False,False,False,False,False,False,True,True,False
16,0,1,4.2,1,6.0,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,False
17,1,2,2.0,0,7.8,8,0,3,False,False,False,True,False,False,False,False,False,False,False,False,True
18,0,0,5.0,1,5.7,5,3,8,True,False,False,False,False,False,False,False,False,False,False,True,False
19,1,1,3.5,0,6.7,7,1,5,False,False,False,False,False,False,False,False,False,False,False,False,True
20,0,1,4.7,1,5.9,6,3,7,False,False,False,False,True,False,False,False,False,False,False,False,False
21,1,0,5.3,1,5.5,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
22,0,2,2.5,0,7.3,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
23,1,1,4.9,1,5.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,False
24,0,1,5.7,1,5.4,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
25,1,2,3.2,0,6.9,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
26,0,0,6.1,1,5.2,5,4,9,True,False,False,False,False,False,False,False,False,False,False,False,False
27,1,1,3.8,0,6.6,7,1,5,False,False,False,False,False,False,False,False,False,False,True,False,True
28,0,1,4.4,1,5.9,6,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False
29,1,2,2.2,0,7.4,8,0,3,False,False,False,True,False,False,False,False,False,False,False,False,True
30,0,0,5.9,1,5.3,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,False
31,1,1,3.6,0,6.7,7,1,5,False,False,False,False,False,False,False,False,False,False,False,False,True
32,0,1,4.8,1,5.7,6,3,7,False,False,False,False,True,False,False,False,False,False,False,True,False
33,1,0,5.4,1,5.4,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,False
34,0,2,2.6,0,7.2,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,True
35,1,1,4.7,1,5.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
36,0,1,5.6,1,5.5,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,False
37,1,2,3.1,0,6.8,7,1,5,False,False,False,False,False,False,False,False,False,False,False,False,True
38,0,0,6.2,1,5.1,5,4,9,True,False,False,False,False,False,False,False,False,False,False,True,False
39,1,1,3.9,0,6.5,7,2,6,False,False,False,False,False,False,False,False,False,False,True,False,False
40,0,1,4.5,1,5.8,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,True
41,1,2,2.3,0,7.3,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
42,0,0,5.8,1,5.4,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,False
43,1,1,3.7,0,6.6,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
44,0,1,4.6,1,5.7,6,3,7,False,False,False,False,True,False,False,False,False,False,False,True,False
45,1,0,5.5,1,5.3,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
46,0,2,2.7,0,7.1,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False
47,1,1,4.8,1,5.9,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
48,0,1,5.5,1,5.6,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
49,1,2,3.3,0,6.7,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
50,0,0,6.3,1,5.2,5,4,9,True,False,False,False,False,False,False,False,False,False,False,False,False
51,1,1,3.8,0,6.4,7,2,6,False,False,False,False,False,False,False,False,False,False,True,False,True
52,0,1,4.7,1,5.8,6,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False
53,1,2,2.4,0,7.2,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False
54,0,0,5.7,1,5.5,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,True
55,1,1,3.6,0,6.5,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
56,0,1,4.9,1,5.6,6,3,7,False,False,False,False,True,False,False,False,False,False,False,False,False
57,1,0,5.6,1,5.2,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
58,0,2,2.8,0,7.0,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
59,1,1,4.6,1,5.9,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,False
60,0,1,5.4,1,5.7,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
61,1,2,3.1,0,7.1,7,1,5,False,False,False,False,False,False,False,False,False,False,False,False,True
62,0,1,5.6,1,5.6,5,3,8,True,False,False,False,False,False,False,False,False,False,False,True,False
63,1,1,4.2,1,6.0,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,False
64,0,0,6.1,1,5.2,4,4,9,False,False,False,False,True,False,False,False,False,False,False,False,True
65,1,2,2.3,0,7.4,8,1,3,False,False,False,True,False,False,False,False,False,False,False,True,False
66,0,1,4.8,1,5.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
67,1,1,3.9,0,6.5,7,2,6,False,False,False,False,False,False,False,False,False,False,True,False,False
68,0,0,5.7,1,5.4,5,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
69,1,2,2.8,0,7.2,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,True
70,0,1,4.5,1,5.9,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,False
71,1,0,5.4,1,5.5,5,4,8,False,False,False,False,True,False,False,False,False,False,False,False,True
72,0,2,3.2,0,6.8,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
73,1,1,4.9,1,5.7,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,False
74,0,1,5.8,1,5.3,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,True
75,1,2,2.5,0,7.3,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
76,0,1,4.6,1,5.8,6,3,7,False,False,False,False,True,False,False,False,False,False,False,False,True
77,1,0,5.5,1,5.4,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,False
78,0,2,2.9,0,7.0,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
79,1,1,4.7,1,5.9,6,3,7,False,False,False,False,False,False,False,False,False,False,True,False,True
80,0,0,5.9,1,5.2,5,4,9,True,False,False,False,False,False,False,False,False,False,False,False,False
81,1,2,3.0,0,7.1,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
82,0,1,4.8,1,5.7,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,True
83,1,1,3.8,0,6.6,7,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False
84,0,2,2.7,0,7.2,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
85,1,0,5.6,1,5.3,5,4,8,False,False,False,False,True,False,False,False,False,False,False,False,True
86,0,1,4.5,1,5.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,False
87,1,0,5.3,1,5.5,5,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
88,0,2,2.6,0,7.3,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,True
89,1,1,4.4,1,6.0,6,3,7,False,False,False,False,False,False,False,False,False,False,True,False,False
90,0,0,5.8,1,5.2,5,4,9,True,False,False,False,False,False,False,False,False,False,False,False,True
91,1,2,2.9,0,7.0,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
92,0,1,4.7,1,5.8,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,False
93,1,1,3.7,0,6.5,7,2,6,False,False,False,False,True,False,False,False,False,False,False,False,True
94,0,0,5.5,1,5.4,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
95,1,2,2.4,0,7.4,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False
96,0,1,4.9,1,5.7,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,True
97,1,0,5.7,1,5.3,5,4,8,False,False,False,False,True,False,False,False,False,False,False,True,False
98,0,2,2.8,0,7.1,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False
99,1,1,4.6,1,5.9,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
100,0,1,5.4,1,5.5,5,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
101,1,0,5.8,1,5.2,5,4,9,False,False,False,False,False,False,False,False,False,False,True,False,False
102,0,2,2.5,0,7.3,8,1,4,False,False,False,True,False,False,False,False,False,False,False,False,True
103,1,1,4.7,1,5.8,6,3,7,False,False,False,False,False,False,False,False,False,False,False,True,False
104,0,0,5.6,1,5.4,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,True
105,1,2,2.9,0,7.0,7,2,5,False,False,False,True,False,False,False,False,False,False,False,False,False
106,0,1,4.8,1,5.7,6,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False
107,1,1,3.8,0,6.6,7,2,6,False,False,False,False,False,False,False,False,False,False,True,False,True
108,0,0,5.5,1,5.5,5,4,8,False,False,False,False,True,False,False,False,False,False,False,False,False
109,1,2,2.6,0,7.2,8,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False
110,0,1,4.9,1,5.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
111,1,1,6.1,1,6.2,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,True
112,0,1,5.8,1,5.9,6,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False
113,1,1,4.9,0,7.1,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
114,0,2,5.5,1,6.0,5,4,8,True,False,False,False,False,False,False,False,False,False,False,False,True
115,1,1,5.2,1,6.3,6,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False
116,0,1,4.8,0,7.2,8,2,5,True,False,False,False,False,False,False,False,False,False,False,False,True
117,1,2,6.0,1,5.8,5,4,8,False,False,False,False,False,False,False,False,False,False,False,True,False
118,0,1,5.7,1,6.1,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
119,1,2,4.7,0,7.3,7,2,5,False,False,False,False,False,True,False,False,False,False,False,False,True
120,0,1,5.4,1,6.2,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
121,1,1,5.9,1,5.9,6,3,7,False,False,False,False,False,False,False,False,False,False,False,False,True
122,0,2,4.6,0,7.4,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
123,1,1,5.3,1,6.3,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
124,0,2,5.8,1,5.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
125,1,1,4.5,0,7.5,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
126,0,2,5.2,1,6.4,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
127,1,1,5.7,1,5.7,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,True
128,0,1,4.4,0,7.6,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
129,1,2,5.1,1,6.5,5,4,8,False,False,False,False,False,False,False,False,False,False,False,False,True
130,0,2,5.6,1,5.6,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
131,1,1,4.3,0,7.7,7,2,5,False,False,False,False,False,True,False,False,False,False,False,False,True
132,0,1,5.0,1,6.6,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
133,1,2,5.5,1,5.5,6,3,7,False,False,False,False,False,False,False,False,False,False,False,False,True
134,0,2,4.2,0,7.8,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
135,1,1,4.9,1,6.7,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
136,0,1,5.4,1,5.4,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
137,1,2,4.1,0,7.9,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
138,0,2,4.8,1,6.8,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
139,1,1,5.3,1,5.3,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,True
140,0,1,4.0,0,8.0,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
141,1,2,4.7,1,6.9,5,4,8,False,False,False,False,False,False,False,False,False,False,False,False,True
142,0,2,5.2,1,5.2,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
143,1,1,3.9,0,8.1,7,2,5,False,False,False,False,False,True,False,False,False,False,False,False,True
144,0,1,4.6,1,7.0,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
145,1,2,5.1,1,5.1,6,3,7,False,False,False,False,False,False,False,False,False,False,False,False,True
146,0,2,3.8,0,8.2,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
147,1,1,4.5,1,7.1,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
148,0,1,5.0,1,5.0,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
149,1,2,3.7,0,8.3,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
150,0,2,4.4,1,7.2,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
151,1,1,4.9,1,4.9,6,3,7,False,False,False,False,False,True,False,False,False,False,False,False,True
152,0,1,3.6,0,8.4,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
153,1,2,4.3,1,7.3,5,4,8,False,False,False,False,False,False,False,False,False,False,False,False,True
154,0,2,4.8,1,4.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
155,1,1,3.5,0,8.5,7,2,5,False,False,False,False,False,True,False,False,False,False,False,False,True
156,0,1,4.2,1,7.4,5,4,8,True,False,False,False,False,False,False,False,False,False,False,True,False
157,1,2,4.7,1,4.7,6,3,7,False,False,False,False,False,False,False,False,False,False,False,False,True
158,0,2,3.4,0,8.6,8,2,5,True,False,False,False,False,False,False,False,False,False,False,True,False
159,1,1,4.1,1,7.5,5,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
160,0,1,4.6,1,4.6,6,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
161,0,1,5.3,1,6.1,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
162,1,2,4.8,0,7.2,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
163,0,1,5.5,1,5.9,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
164,1,2,4.7,1,6.3,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
165,0,1,5.1,0,7.0,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
166,1,2,5.4,1,6.0,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
167,0,1,4.9,1,6.4,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
168,1,2,5.2,0,7.1,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
169,0,1,5.6,1,5.8,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
170,1,2,4.6,1,6.5,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
171,0,1,5.0,0,7.3,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
172,1,2,5.3,1,5.7,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
173,0,1,4.8,1,6.6,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
174,1,2,5.1,0,7.4,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
175,0,1,5.7,1,5.6,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
176,1,2,4.5,1,6.7,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
177,0,1,4.9,0,7.5,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
178,1,2,5.2,1,5.5,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
179,0,1,4.7,1,6.8,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
180,1,2,5.0,0,7.6,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
181,0,1,5.8,1,5.4,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
182,1,2,4.4,1,6.9,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
183,0,1,4.8,0,7.7,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
184,1,2,5.1,1,5.3,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
185,0,1,4.6,1,7.0,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
186,1,2,4.9,0,7.8,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
187,0,1,5.9,1,5.2,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
188,1,2,4.3,1,7.1,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
189,0,1,4.7,0,7.9,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
190,1,2,5.0,1,5.1,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
191,0,1,4.5,1,7.2,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
192,1,2,4.8,0,8.0,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
193,0,1,6.0,1,5.0,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
194,1,2,4.2,1,7.3,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
195,0,1,4.6,0,8.1,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
196,1,2,4.9,1,4.9,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
197,0,1,4.4,1,7.4,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
198,1,2,4.7,0,8.2,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
199,0,1,6.1,1,4.8,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
200,1,2,4.1,1,7.5,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
201,0,1,4.5,0,8.3,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
202,1,2,4.8,1,4.7,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
203,0,1,4.3,1,7.6,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
204,1,2,4.6,0,8.4,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
205,0,1,6.2,1,4.6,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
206,1,2,4.0,1,7.7,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
207,0,1,4.4,0,8.5,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
208,1,2,4.7,1,4.5,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
209,0,1,4.2,1,7.8,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
210,1,2,4.5,0,8.6,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
211,0,1,6.3,1,4.4,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
212,1,2,3.9,1,7.9,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
213,0,1,4.3,0,8.7,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
214,1,2,4.6,1,4.3,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
215,0,1,4.1,1,8.0,5,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
216,1,2,4.4,0,8.8,7,2,6,False,False,False,False,False,False,False,False,False,False,False,True,False
217,0,1,6.4,1,4.2,6,4,8,False,False,False,False,False,True,False,False,False,False,False,False,True
218,1,2,3.8,1,8.1,5,3,7,True,False,False,False,False,False,False,False,False,False,False,True,False
219,0,1,4.2,0,8.9,7,2,5,False,False,False,False,False,False,False,False,False,False,False,False,True
220,1,2,4.5,1,4.1,6,4,8,False,False,False,False,False,True,False,False,False,False,False,True,False
221,0,1,6.5,1,6.0,5,4,9,True,False,False,False,False,False,False,False,False,False,False,False,True
222,1,2,5.8,1,6.5,6,3,7,False,False,False,False,False,True,False,False,False,False,False,True,False
223,0,1,4.5,0,7.5,8,2,5,True,False,False,False,False,False,False,False,False,False,False,False,True
224,1,2,4.2,0,7.8,7,2,4,False,False,False,False,False,False,False,False,False,False,False,True,False
225,0,1,3.8,0,7.9,8,1,3,False,False,True,False,False,False,False,False,False,False,False,False,True
226,1,2,5.5,1,6.8,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
227,0,1,5.2,1,6.5,6,3,6,False,True,False,False,False,False,False,False,False,False,False,True,False
228,1,2,4.8,0,7.2,7,2,5,False,False,False,False,False,False,False,True,False,False,False,False,True
229,0,1,7.0,1,5.8,4,4,9,False,False,False,False,False,True,False,False,False,False,False,True,False
230,1,2,5.5,1,6.7,6,3,7,True,False,False,False,False,False,False,False,False,False,False,False,True
231,0,1,4.7,0,7.4,7,2,5,False,False,False,False,False,False,False,False,False,False,False,True,False
232,1,2,4.0,0,7.9,8,1,4,True,False,False,False,False,False,False,False,False,False,False,False,True
233,0,1,3.5,0,8.0,8,1,3,False,False,True,False,False,False,False,False,False,False,False,False,True
234,1,2,5.7,1,6.5,5,3,8,False,False,False,False,False,True,False,False,False,False,False,True,False
235,0,1,5.0,1,6.8,6,3,6,False,True,False,False,False,False,False,False,False,False,False,False,True
236,1,2,4.5,0,7.4,7,2,5,False,False,False,False,False,False,False,True,False,False,False,True,False
237,0,1,6.8,1,5.9,4,4,9,True,False,False,False,False,False,False,False,False,False,False,False,True
