seq,track_name,track_artist,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"I really can't stay
But, baby, it's cold outside
I got to go away
But baby, it's cold outside
This evening has been
Been hoping that you'd drop in
So very nice
I'll hold your hands, they're just like ice

My mother will start to worry
Beautiful, what's your hurry?
And father will be pacing the floor
Listen to the fireplace roar
So really I'd better scurry
Beautiful, please don't hurry
Well, maybe just a half a drink more
Put some records on while I pour

The neighbors might think
But baby, it's bad out there
Say, what's in this drink?
No cabs to be had out there
I wish I knew how
Your eyes are like starlight now
To break the spell
I'll take your hat, your hair looks swell

I ought to say no, no, no, Sir
Mind if I move in closer
At least I'm gonna say that I tried
What's the sense of hurting my pride?
I really can't stay
Oh, baby don't hold out, baby
Ahh, but it's cold outside

I simply must go
But, baby, it's cold outside
The answer is no
But, baby, it's cold outside
This welcome has been
How lucky that you dropped in
So nice and warm
Look out the window at that storm

My sister will be suspicious
Gosh, your lips look delicious
My brother will be there at the door
Waves upon a tropical shore
My maiden aunt's mind is vicious
Gosh, your lips are delicious
Well, maybe just a cigarette more
Never such a blizzard before

I've got to get home
But, baby, you'll freeze out there
Say, lend me a comb
It's up to your knees out there
You've really been grand
I thrill when you touch my hand
But don't you see
How can you do this thing to me?

There's bound to be talk tomorrow
Think of my life long sorrow
At least there will plenty implied
If you caught pneumonia and died
I really can't stay
Get over that old out, baby
Ahh, but it's cold outside

Where could you be going
When the wind is blowing and it's cold outside?
Baby, it's cold, cold outside",Baby It's Cold Outside,Ella Fitzgerald,9,r&b,neo soul,0.768,0.0797,10,-13.645,1,0.0563,0.929,0.0,0.125,0.607,113.261,163707
"Dashing through the snow
In a one-horse open sleigh
Through the fields we go
Laughing all the way.
Bells on bob-tail ring
Making spirits bright
What fun it is to ride and sing
A sleighing song tonight.

Cho: Jingle bells, jingle bells
Jingle all the way,
Oh what fun it is to ride
In a one-horse open sleigh, O
Jingle bells, jingle bells
Jingle all the way,
Oh what fun it is to ride
In a one-horse open sleigh.

A day or two ago
I thought I'd take a ride
And soon Miss Fanny Bright
Was seated by my side;
The horse was lean and lank
Misfortune seemed his lot,
We ran into a drifted bank
And there we got upsot.

A day or two ago
The story I must tell
I went out on the snow
And on my back I fell;
A gent was riding by
In a one-horse open sleigh
He laughed at me as
I there sprawling laid
But quickly drove away.

Now the ground is white,
Go it while you're young,
Take the girls along
And sing this sleighing song.
Just bet a bob-tailed bay,
Two-forty as his speed,
Hitch him to an open sleigh
And crack! You'll take the lead.",Jingle Bells,Ella Fitzgerald,11,r&b,neo soul,0.688,0.7,7,-6.295,1,0.0757,0.73,0.0,0.727,0.876,119.117,142547
"Beauty can be sad; you're proof of that
When the damage is done, you're damaged goods
That's not to say it's not okay
I wouldn't have it any other way

A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works

Sweet, sweet pain comes with the sun
Lie down and soak it up, burn off layers of insulators
Exposed nose to the cold, I'm bleeding pretty colors
Yeah, all over myself

A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works

Black wave comes to take me away
I ride it almost to the grave
Landing on a crowded shore, high-fiving
What a trip; I'm better for it
I feel a live sensation

A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works",Universal Heart-Beat,Juliana Hatfield,28,rock,permanent wave,0.534,0.814,2,-7.978,1,0.0717,0.0359,0.00539,0.721,0.686,127.967,205907
"There is a swelling storm
And I'm caught up in the middle of it all
And it takes control
Of the person that I thought I was
The boy I used to know
 
But there, is a light
In the dark, and I feel its warmth
In my hands, and my heart
Why can't I hold on?
 
It comes and goes in waves
It always does, it always does
We watch as our young hearts fade
Into the flood, into the flood
 
The freedom, of falling
A feeling I thought was set in stone
It slips through, my fingers
I'm trying hard to let go
It comes and goes in waves
It comes and goes in waves
And carries us away
 
Through the wind
Down to the place we used to lay when we were kids
Memories, of a stolen place
Caught in the silence 
An echo lost in space
 
It comes and goes in waves
It always does, it always does
We watch as our young hearts fade
Into the flood, into the flood
 
The freedom, of falling
A feeling I thought was set in stone
It slips through, my fingers
I'm trying hard to let go
It comes and goes in waves
It comes and goes in waves
And carries us away
 
I watched my wild youth
Disappear in front of my eyes
Moments of magic and wonder
It seems so hard to find
Is it ever coming back again?
Is it ever coming back again?
Take me back to the feeling when
Everything was left to find
 
It comes and goes in waves
It always does, oh it always does
 
The freedom, of falling
A feeling I thought was set in stone
It slips through, my fingers
I'm trying hard to let go
It comes and goes in waves
It comes and goes in waves
And carries us away",Waves,Dean Lewis,74,r&b,urban contemporary,0.518,0.729,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879,240013
"Here comes the hurricane, C.L. same name
Cut by the grain when I land upon the plain
Jah knew the Hebrew, a Papa Duke need you
But none of the fam who saw had a clue
Escalate the prime rate, words coagulate
Generate the mind's state, never can deflate
Nigger, you jigaboo, it doesn't have to be you
Funny like a cartoon, Pepe Le Pew
Pimp are the lyrical, g-string the individual
But the metaphysical isn't spriritual
Straight from the heart I frame the art
Tune up my class, real fast, very smart
Dictate the technique, wait a minute, I speak
Loved by my son and a kiss on the cheek
Stutter-step the concept, blueprint, or pro
Steady as we go so act like you know

I stand by the rabbi, sail in Shanghai
Always had an alibi even if I lie
Crucial, never neutral, bare the fruitful
Past time, another rhyme, skedaddle, Yankee Doodle
Light skin in lovely gyp, just for the honey dip
Here to make a megahit fit
Don't install the pipe dream, renaissance regime
When you run ragged I pick up the steam
Chart on the record book, what Corey Love took the hook
Here's a new book to civilize a crook
Purest of the pedigree, feed 'em a line
C.L., no Jezebel, can never sleep well
Thick like a dred, at the Club Med
The Mecca Don said, a fish out of water is dead
Pete Rock, the soul brother, cruise on a flow
Swing low and yell ""Geronimo!"", act like you know

C.L. can play like Nike, come on just do it
Pacify the Gemini, soul into it
Beat to my feet is a lock like concrete
Hard for the street, decipher never incomplete
A clean editorial, rather historical
Affordable, recordable, nifty like a portable
Mecca is the syndrome, when I come back home
Boogie on a baritone, listen on a phone
Libra, the achiever, toke a reefer
C.L. the girl pleaser, like Ebanezer
So here is the good sign, I incline
Titties with the bitties when I wine and dine
Worn like corduroy, comes the bad boy
But just like Anita Pita, I bring ya joy
""Agoobilonians"" with your knowledge
And take as said so, flow and act like you know",Act Like You Know,Pete Rock & C.L. Smooth,27,rap,southern hip hop,0.756,0.748,10,-9.818,0,0.127,0.11,0.0,0.0734,0.822,101.845,243600
"""You know, nowadays it, seems like there's a lot of..
Bad things going on and, I guess a lot of it,
From the way I see it, seems to still stem from,
Lack of feelings on our parts, it's,
And how we relate or communicate with our,
Fellow brothers and sisters""

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

South Africa, what does it mean?
To burst the scene, or conquer like a philistene
War or peace, which one do you prefer?
Pass me my M-16 for the disaster
A reason for the treason in a jet black season
For peace, justice, and freedom
For the Original Man, architect of the Motherland
Kings to Queens, is the Asiatic Black plan
Pre-Adam-ite, first to see the light
Way before Adam and Eve took flight
Bless the seed of Abraham, I came to jam
Protest the teachings of another man
Uncle Tom stay loyal so they boil
I'm the alchemist with the twist from the true soil
My blood brother Adolpho on the side of me
My vision ain't blurry, so don't even lie to me
The rebirth the revival of our culture survival
To elevate, the black man is vital
You gotta realize now what we're facing
The floors I'm pacing from the anger in the nation

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

Here's the situation from a darker view
Night and day, salt and pepper in the earthly stew
But the salt think it taste better, straight up superior
Therefore, the flavor of the pepper's inferior
Incorrect though, giving some heartburn
Level of a devil better wait your turn
And here is one recollection of imperfection
No one should be judged by complexion
Lie-braries; broken down as lies buried
To force their beliefs to pilgrims all hurried
Television; tell-a-lie-vision
A schism; negative realism
Four-hundred-and-thirty-five years til weak
Mental deaf dumb and blindness put us to sleep
Out of the dark comes light so the first can't be
So Armaggedeon comes like a thief in the night
Rednecks flex to my context but in the projects
Some won't survive the next confrontation
And I'm aware of segregation
Pump your black fist for the anger in the nation

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

Some walk slow, cause the water's not shallow
Let my people go, you little Pharoah
Listen how they word it, be observant
Then house negro; today, civil servant
I want to drop the bomb but remain calm
Strong like the power of the Fruits of Islam
Black is beautiful, hot like fire
Guess how many times they thought they killed the Messiah
Malcolm X, Dr. King, let's sing
All around the world let freedom ring
Reality is real, so how do you feel
From being kings on a throne to picking cotton in a field?
Your slavery is lack of identity
One of the things that's not making you a friend of me
What's your cause - aim, rationale?
Cause I made up my mind, I never scrape or bow
But teach my own, the sound of black unity
Together we can rise and now's the opportunity
The Tuskegee Experiment, indeed it was big
When they used the black man as a guinea pig
Animalism, pumped on a lower level
But can only be the works of the devil
And I'm telling you now the frustration
The future's facing from the anger in the nation

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

(Let's get together!)
(Let's get together!)
(Let's get together!)
(Let's get together, and raise)

(Let's get together)",Anger in the Nation,Pete Rock & C.L. Smooth,24,rap,southern hip hop,0.805,0.648,6,-12.46,1,0.321,0.0325,1.36e-06,0.04,0.636,94.881,333533
"Here come's the rugged one, plus the way I flip it
I collect the loot and then I knock the boots
A smooth dark lover, prefer to be called the chocolate lover
Cuz I can do wonders under cover
I'm dip-dip-dope, I rhyme like riz-ope
I cleanse like soap, cause it's the great black hope
Stay away from the penile, I can rock the senile
Hons always wave cause slick like blue nile
Pete Rock on the boot knock, on the boot knock
Plus the way that I flow blood clot

Mm-hmm, mm-hmm, yeah
So funky, like a street junky
Like I said before, here we go, c'mon
For Pete's sake I break and update, wait, I radiate
The dub played to navigate the tune I make
I fit like a slipper, so catch the Big Dipper
Vital signs are quicker, not the flat line picture
Showtime original, official with the smooth criminal
I hit the cliches on the subliminal
With the soul technician to fill the prescription
In addition listen close to the mission
The P.E.T.E.R.O.C.K., resume
With the route to Brut by Faberge
No doubt, to shout about a 20-bar segment
Off spring the lyrics when the microphone's pregnant
Give it a rubdown, now here's the sermon
Everywhere you go you hear Mecca from the Vernon
Pound for pound, uptown, I get down
And bound to spin the record like a merry-go-round
The cut don't flow that I touch is not a preemie
And who would ever see me when I dream of Jeanie
I don't think so, peace, I gotta go
And shake like an earthquake, cousin, for Pete's sake

To my man

Here come's the rugged one, plus the way I flip it
I collect the loot and then I knock the boots
A smooth dark brother, prefer to be called the chocolate lover
Cause I can do wonders under cover
I'm dip-dip-dope, I rhyme like riz-ope
I cleanse like soap, cause it's the great black hope
Stay away from the penile, I can rock the senile
Hons always wave cause I'm slick like lunile
Pete Rock on the boot knock, on the boot knock
Plus the way that I flow blood clot
Yo, my style's cock-diesel and I can do the hustle
Niggas know the time, I don't have to flex a muscle
I'm not the type to fake it, I wouldn't try to take it
Tie your girl to the back of my Jeep butt-naked
Slide her monkey ass down the hill
So if you don't want beef, money, chill for Pete's sake

To my man

Music please

The Mecca's sweet like nectar, maybe cause you need it
There's a ribbon in the sky, but I wonder if you see it
In the days of thunder, notice how I suplex in the proper context
Here steps the one, the answer to the riddle
Survey says the black press can make you wiggle
The staff to the craft, the stroke of a pena
Perfect stranger, melody arranger
Loopholes are filled when I build with the skill
Liquid steels the mic on the Rock's chill
No financial aid wade when I'm paid
Deep as the Everglade, the escapade a renagade
Study in the archives, place your bet, sonny
Head crack back to back for the bail money
For you, a chapter, slayed by the author
Lickin' on your daughter, say, south of the border
Now, here we are with the funky repertoire
Draw warm like a spa, star, forget all the hoopla
C.L. Smooth and Pete Rock
Could break and penetrate, piece of cake, cousin, for Pete's sake

To my man, for Pete's Sake, c'mon",For Pete's Sake,Pete Rock & C.L. Smooth,34,rap,southern hip hop,0.671,0.705,6,-12.515,0,0.172,0.34,0.000839,0.105,0.784,97.18,354640
"Uh, yeah. Uh-huh
We got Pete Rock and C.L. Smooth
And we're here to tell you to
And that's a fact, baby
Now you're gonna kick some lyrics
Like this, c'mon

Walk the fine, short line, and put the needle to the grind
Representin' one kind, seeing eye for the blind
Witness what I carry on bears a further purpose
From how we do slam a few, then you want to purchase
A dialogue of funk, you love to pop it in your trunk
I win, more disciplined than a Show-lin monk
Pete Rock and C.L., well set to spark it
The powerful target to destroy the black market
But when you say black, listen, I don't know, you lose me
I guess another beggar can afford to be choosey
I come to the maximum, artist on a major label
Any duplication of this one is fatal
On one to five, I gotta hit ya live
Beat your ass with my tape, any race or shape
Cuz if they got mine, they got yours too
But together here's what we gotta do

Tell 'em straighten it out
Ah, yeah straighten it out
You know this is the word (say what?) straighten it out
That's right y'all straighten it out (say what?)
You got to straighten it out
Everybody must straighten it out (say what?)
Straighten it out yeah
Straighten it out it's like that (say what?)

The funk legacy I pass on, clearancy for high rates
Every time we sample all the past time greats
Stick it in the SP-1200 beat, I make a loop
Lovely, where the Troop in a Lexus coupe
Just a little bit, set to make a whole lot happen
The musical inside my rappin'
Written by the C.L., produced by the P.R
And add in any credit that you heard thus far
I start from scratch, cuz the bass line's critical
Better than the original who first made it
But now you want to sue me, but fans never boo me
Believe I know the times, we been broke, too, G
Here's another sample clear, seeya, get the hell outta here
Like a bootleg, you're over for the year
You'll only get the credit where the credit is due
So, listen, what I shout out is true

Yeah, true straighten it out
You gots to tell 'em to straighten it out
(Say what?) straighten it out
You got to tell 'em to straighten it out
(Say what?) straighten it out
That's right straighten it out
C'mon (say what?) straighten it out
That's right straighten it out
Straighten it out (say what?)

Like the strands of lamb's wool, I'm thinkin' that's said
Here to go to the head and count the locks on a dred
I and I'd 'mit to verify, goin' to multiply
A theory many thought a conspiracy
Here to let you know that it applies to all of us
You're no exceptions to the rule and that's a plus
Cause who Jah bless, let no one curse
Straighten out what I be about, reckon above the clout
And let the management work for me
Because I don't need the unnecessary hostility
A proper marketing plan so we can gobble up the dough
Straighten it out, so everybody know
The kids are official with the purpose of a smooth surface
Kickin' the service one time to make 'em nervous
We're finally here and very long overdue
Pete Rock, this one's for the crew

You gotta straighten it out
Everybody must straighten it out (say what?)
You gotta straighten it out
Everybody must straighten it out (say what?)
Straighten it out you got to
Straighten it out c'mon (say what?)
Straighten it out
All black people must straighten it out
Say what?
Straighten it out
Everybody must straighten it out
The YG's, they must straighten it out
The Hilltop, they muststraighten it out
The whole money-earnin' must straighten it out
Everybody must straighten it out
Come on straighten it out
Ah, yeah straighten it out (to close)",Straighten It Out,Pete Rock & C.L. Smooth,52,rap,southern hip hop,0.77,0.656,10,-11.169,0,0.246,0.11,0.0,0.0793,0.788,98.82,253413
"Give blood
But you may find that blood is enough
Give blood
And there are some who'll say it's not enough
Give blood
But don't expect too ever see reward
Give blood
You can give it all but still asked for more

Give blood
But it could cost more than your dignity
Give blood
Parade your pallor in iniquity
Give blood
They will cry and say they're in our debt
Give blood
But then they'll sigh and they will soon forget

[man in background]
where heading for the day of blessings I'm telling ya,
Its all building up to something,
Something that's opening beginning with fire

So give love and keep blood between brothers
Give love and keep blood between brothers
Give love and keep blood between brothers
Give love and keep blood between brothers

Give blood
But you may find that blood is not enough
Give blood
And there are some who'll say it's not enough
Give blood
But don't expect too ever see reward
Give blood
You can give it all but still asked for more

So give love and keep blood between brothers
Give love and keep blood between brothers
Give love and keep blood between brothers
Give love and keep blood between brothers

Give your love and keep blood between brothers
Give your love and keep blood between brothers
Give love and keep blood between brothers
Give love and keep blood between brothers
Give love and keep blood between brothers",Give Blood,Pete Townshend,35,rock,classic rock,0.508,0.791,8,-11.896,1,0.0486,0.00974,0.106,0.048,0.411,127.645,346973
"Lightning crashes a new mother cries
Her placenta falls to the floor
The angel opens her eyes
The confusion sets in
Before the doctor can even close the door

Lightning crashes an old mother dies
Her intentions fall to the floor
The angel closes her eyes
The confusion that was hers
Belongs now to the baby down the hall

Oh now feel it, comin' back again
Like a rollin', thunder chasing the wind
Forces pullin' from
The center of the earth again
I can feel it.

Lightning crashes a new mother cries
This moment she's been waiting for
The angel opens her eyes
Pale blue colored iris
Presents the circle
And puts the glory out to hide, hide

Oh now feel it, comin' back again
Like a rollin', thunder chasing the wind
Forces pullin' from
The center of the earth again
I can feel it.

Oh now feel it, comin' back again
Like a rollin', thunder chasing the wind
Forces pullin' from
The center of the earth again
I can feel it.

Oh now feel it, comin' back again
Like a rollin', thunder chasing the wind
Forces pullin' from
The center of the earth again
I can feel it.",Lightning Crashes,Live,49,rock,permanent wave,0.397,0.431,11,-9.258,1,0.0487,0.271,2.81e-06,0.118,0.463,94.103,324733
