danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.511,0.212,2,1,0.034,0.00435,0.338,98.913,-13.912,0.954,0.429,178400,0,honky-tonk
0.371,0.993,1,1,0.217,0.296,0.342,134.087,-5.726,5.78e-06,0.0372,243280,0,death-metal
0.564,0.976,6,1,0.0592,0.247,0.0868,107.995,-3.562,8.83e-06,0.642,250666,0,industrial
0.583,0.965,5,0,0.0777,0.028,0.144,139.984,-4.185,0.0263,0.473,301640,0,industrial
0.492,0.898,0,0,0.0513,0.668,0.116,114.948,-5.662,0.000831,0.22,387306,0,black-metal
0.3,0.954,6,0,0.211,0.839,0.0741,109.824,-8.236,0.0107,0.283,67333,0,grindcore
0.711,0.466,0,1,0.0323,1.77e-06,0.0975,128.162,-13.933,0.298,0.952,184533,0,disney
0.33,0.777,6,1,0.0838,0.00227,0.167,114.309,-6.316,0.00315,0.236,227477,0,metalcore
0.435,0.891,7,1,0.0333,0.00262,0.919,127.341,-5.021,0.436,0.77,566200,0,bluegrass
0.689,0.539,2,1,0.0382,0.701,0.103,139.967,-11.424,0.0421,0.142,478866,0,breakbeat
0.714,0.243,0,1,0.0478,0.212,0.11,125.834,-13.513,0.646,0.504,298720,0,british
0.802,0.68,5,0,0.217,0.0,0.319,99.982,-5.912,0.344,0.766,179406,0,j-dance
0.661,0.841,9,1,0.0344,0.00348,0.358,129.99,-5.849,0.00153,0.211,222493,0,chicago-house
0.799,0.721,6,1,0.0508,0.000341,0.335,132.763,-5.222,0.0214,0.66,265426,0,latin
0.529,0.714,8,1,0.0295,0.00909,0.128,110.16,-8.426,0.229,0.837,236026,0,power-pop
0.509,0.886,9,0,0.0641,0.125,0.36,165.013,-4.5,0.000551,0.522,272227,0,happy
0.507,0.387,0,1,0.0264,0.0,0.143,140.66,-11.812,0.623,0.26,233466,0,honky-tonk
0.209,0.947,11,1,0.109,0.197,0.247,89.54,-5.313,2.22e-06,0.23,297306,0,death-metal
0.432,0.894,3,0,0.0666,0.777,0.112,115.1,-7.934,9.8e-05,0.0954,366823,0,black-metal
0.493,0.903,6,0,0.258,0.000135,0.816,171.937,-3.587,0.0237,0.527,127339,0,alternative
0.156,0.904,10,1,0.148,0.337,0.652,107.546,-3.965,0.000258,0.0355,174898,0,death-metal
0.255,0.937,1,1,0.12,0.225,0.35,126.165,-5.603,1.3e-05,0.226,142661,0,grindcore
0.491,0.328,5,1,0.037,6.13e-05,0.427,104.534,-14.176,0.894,0.52,171080,0,honky-tonk
0.431,0.224,6,1,0.0379,0.0,0.112,87.122,-8.683,0.948,0.401,230480,0,pop
0.696,0.249,5,1,0.0559,1.56e-05,0.472,92.286,-17.176,0.678,0.558,331040,0,afrobeat
0.778,0.709,0,0,0.404,0.0,0.072,117.663,-5.326,0.283,0.971,180244,0,j-dance
0.615,0.987,1,1,0.102,0.872,0.374,145.026,-3.682,0.00112,0.324,318813,0,breakbeat
