danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.851,0.818,4,1,0.0789,2.94e-06,0.0945,119.006,-4.637,0.112,0.808,238906,0,dance
0.614,0.724,7,1,0.0247,0.000256,0.146,97.863,-7.521,0.217,0.902,285373,0,blues
0.804,0.693,7,1,0.0915,0.000916,0.314,95.721,-7.47,0.00876,0.654,170906,0,punk
0.663,0.694,10,0,0.171,0.0,0.0698,167.953,-8.627,0.0253,0.525,340920,0,alternative
0.637,0.867,8,1,0.05,0.0,0.11,124.069,-3.686,0.143,0.652,227973,0,dance
0.592,0.765,9,0,0.027,0.00154,0.127,96.483,-2.788,0.0021,0.327,329733,0,alt-rock
0.542,0.939,1,1,0.049,0.231,0.261,92.002,-4.246,0.00301,0.414,293453,0,grunge
0.802,0.682,1,0,0.225,1.63e-05,0.109,123.94,-5.919,0.112,0.586,326960,0,dance
0.695,0.801,9,0,0.0441,0.0,0.479,119.973,-4.503,0.00124,0.646,249280,0,dance
0.821,0.515,11,1,0.294,0.0,0.196,97.674,-11.552,0.392,0.649,186121,0,comedy
0.715,0.907,7,0,0.0993,8.39e-05,0.426,124.991,-6.025,0.0172,0.841,268840,0,dance
0.344,0.931,1,1,0.0783,0.0,0.0903,148.104,-3.759,0.00104,0.251,223973,0,alt-rock
0.746,0.793,0,1,0.0265,0.0,0.421,127.973,-5.725,0.0519,0.656,289493,0,dance
0.779,0.51,8,0,0.252,0.0,0.0865,90.025,-3.629,0.26,0.591,218000,0,hardcore
0.767,0.747,10,0,0.25,1.49e-06,0.138,164.882,-6.749,0.462,0.855,268946,0,funk
0.679,0.736,1,1,0.415,0.0,0.34,116.401,-9.217,0.517,0.814,196200,0,j-dance
0.821,0.686,1,1,0.263,0.0,0.17,94.015,-9.158,0.00216,0.708,198026,0,hardcore
0.839,0.467,6,1,0.421,1.34e-06,0.117,83.247,-12.265,0.0426,0.678,294693,0,new-age
0.644,0.66,9,0,0.332,2.96e-06,0.346,184.208,-11.175,0.121,0.775,201720,0,hardcore
0.661,0.937,10,0,0.0744,1.58e-05,0.355,130.999,-3.83,0.000967,0.535,249066,0,dance
0.684,0.61,10,0,0.0494,0.0,0.135,91.056,-7.978,0.444,0.712,225973,0,trip-hop
0.659,0.74,7,1,0.298,0.0,0.655,94.979,-7.974,0.0678,0.625,242546,0,trip-hop
0.682,0.639,11,1,0.352,0.000359,0.176,93.453,-7.454,0.127,0.654,229600,0,trip-hop
0.499,0.873,9,0,0.408,0.0,0.168,186.123,-5.795,0.0552,0.58,216093,0,trip-hop
0.67,0.907,9,1,0.147,0.0,0.208,160.093,-5.35,0.67,0.407,324080,0,industrial
0.852,0.887,2,1,0.263,1.87e-05,0.311,158.565,-4.468,0.246,0.788,246920,0,reggae
0.54,0.713,0,1,0.208,0.0,0.0954,137.987,-4.891,0.0393,0.442,236080,0,j-dance
0.51,0.816,5,0,0.0352,8.66e-06,0.224,149.929,-5.331,0.13,0.588,176933,0,dance
0.706,0.89,1,0,0.0687,0.00288,0.305,128.012,-4.447,0.0588,0.685,248133,0,dance
0.665,0.751,4,1,0.041,5.16e-06,0.121,90.376,-5.003,0.0209,0.58,183200,0,punk
0.652,0.766,11,1,0.0345,6.34e-06,0.0739,110.011,-6.481,0.000761,0.641,227813,0,punk-rock
0.441,0.943,3,1,0.0602,8.27e-06,0.091,85.05,-3.205,0.00293,0.781,181533,0,punk
0.261,0.947,11,1,0.0487,0.00326,0.31,185.942,-3.031,0.000193,0.552,206120,0,alt-rock
0.398,0.93,11,1,0.0599,0.121,0.0874,190.84,-6.76,0.000854,0.73,408173,0,punk-rock
0.595,0.961,4,0,0.153,1.2e-06,0.803,90.011,-4.342,0.00931,0.588,250586,0,grunge
0.743,0.842,8,1,0.261,0.0,0.105,90.019,-6.264,0.386,0.526,151750,0,comedy
0.792,0.854,7,1,0.105,4.02e-06,0.108,110.01,-6.17,0.116,0.829,218329,0,j-dance
0.806,0.851,11,0,0.0508,9.05e-06,0.127,141.022,-5.03,0.544,0.84,222229,0,j-dance
0.704,0.678,2,1,0.0581,0.000131,0.101,99.993,-5.829,0.0161,0.166,231088,0,dancehall
0.459,0.955,10,1,0.0448,4.29e-06,0.421,143.865,-4.26,0.000311,0.485,194080,0,punk-rock
0.557,0.442,5,1,0.0243,1.46e-05,0.11,146.277,-7.224,0.731,0.213,309600,0,pop
0.607,0.405,9,1,0.0265,6.7e-06,0.231,129.543,-8.607,0.539,0.233,223040,0,pop
0.429,0.661,11,1,0.0281,0.000121,0.234,173.372,-7.227,0.00239,0.285,266773,0,pop
0.713,0.833,11,1,0.0483,0.0,0.0868,96.012,-5.198,0.0295,0.552,220693,0,dance
0.69,0.856,1,0,0.0376,7.82e-05,0.0761,145.966,-2.549,0.0689,0.74,215586,0,pop
0.608,0.707,11,0,0.266,0.0,0.362,112.119,-9.369,0.204,0.472,161013,0,dancehall
0.315,0.418,7,1,0.0299,0.000679,0.0836,129.116,-9.146,0.131,0.237,242495,0,pop
0.584,0.638,9,0,0.0302,3.06e-06,0.101,99.97,-6.437,0.0134,0.456,244760,0,dance
0.883,0.489,4,0,0.285,0.0,0.104,83.046,-9.091,0.0298,0.696,168480,0,comedy
0.409,0.57,6,0,0.0711,0.0,0.173,128.657,-10.54,0.687,0.336,223613,0,pop
0.799,0.755,9,1,0.0419,0.169,0.0661,128.695,-11.538,0.108,0.975,221266,0,synth-pop
0.312,0.528,10,0,0.0333,3.88e-06,0.0369,201.13,-7.324,0.267,0.397,291986,0,hard-rock
0.441,0.976,8,0,0.147,0.0475,0.298,130.411,-3.09,0.000335,0.248,220413,0,alt-rock
0.385,0.306,3,1,0.0297,7.43e-06,0.128,173.377,-12.167,0.452,0.546,173813,0,british
0.669,0.566,5,0,0.138,5.81e-06,0.111,139.974,-9.005,0.448,0.242,211213,0,j-dance
0.608,0.871,11,0,0.0813,0.0,0.363,103.78,-7.496,0.106,0.61,278960,0,punk
0.857,0.796,9,0,0.0527,0.0,0.0503,132.528,-6.866,0.079,0.944,204600,0,disco
0.52,0.545,8,1,0.0768,0.0,0.133,115.882,-9.368,0.0827,0.0856,192000,0,alternative
0.508,0.769,2,1,0.0326,6.1e-06,0.063,178.95,-5.973,0.0577,0.939,141600,0,country
0.691,0.712,7,0,0.0695,0.0,0.127,160.056,-5.381,0.396,0.812,165624,0,comedy
0.513,0.906,1,1,0.0737,8.42e-06,0.113,173.0,-3.673,0.00272,0.73,211520,0,emo
0.564,0.818,8,0,0.0661,0.0,0.0402,103.342,-6.202,0.0767,0.712,206173,0,indie
0.51,0.375,9,1,0.0288,0.0,0.145,132.555,-9.194,0.812,0.25,263693,0,swedish
0.799,0.721,6,1,0.0508,0.000341,0.335,132.763,-5.222,0.0214,0.66,265426,0,latin
0.459,0.858,4,1,0.0626,0.0,0.184,111.682,-3.063,0.0506,0.855,161920,0,emo
0.679,0.682,6,1,0.261,0.0,0.287,94.971,-5.837,0.265,0.59,207186,0,dance
0.641,0.861,4,1,0.0697,0.0,0.868,105.32,-6.9,0.227,0.473,249760,0,singer-songwriter
0.521,0.495,5,1,0.027,0.0,0.296,135.061,-7.756,0.128,0.116,339196,0,acoustic
0.762,0.696,1,1,0.109,1.08e-06,0.277,75.103,-7.139,0.0814,0.59,234560,0,j-dance
0.646,0.836,1,1,0.0327,3.23e-05,0.29,105.991,-6.203,0.301,0.727,198855,0,acoustic
0.616,0.81,2,1,0.0668,0.0,0.107,97.994,-6.51,0.369,0.79,296843,0,acoustic
0.722,0.826,5,0,0.108,4.06e-06,0.222,127.929,-5.464,0.227,0.494,251133,0,dance
0.441,0.986,0,1,0.116,0.000781,0.0998,123.974,-2.466,0.038,0.184,215666,0,alt-rock
0.706,0.782,2,1,0.0278,4.86e-06,0.0813,104.983,-4.353,0.21,0.418,228573,0,dance
0.531,0.864,4,0,0.0611,0.00046,0.354,166.312,-4.948,0.000753,0.485,288533,0,hard-rock
0.409,0.946,2,1,0.0551,3.45e-05,0.353,147.094,-2.878,0.235,0.707,165800,0,swedish
0.568,0.575,10,0,0.029,0.0001,0.114,133.093,-7.769,0.126,0.333,256545,0,disco
0.453,0.553,1,1,0.0332,0.399,0.976,91.986,-10.495,0.0929,0.0799,307960,0,industrial
0.623,0.277,2,1,0.0413,0.0166,0.134,117.294,-13.038,0.969,0.484,141360,0,disney
0.649,0.709,1,1,0.0802,0.0,0.0732,83.975,-7.989,0.0212,0.605,261706,0,rock
0.458,0.897,10,0,0.0674,0.0,0.103,154.834,-5.006,0.005,0.602,204760,0,emo
0.68,0.711,9,1,0.0414,0.0,0.241,127.436,-6.371,0.0918,0.571,216760,0,rock
0.32,0.546,9,1,0.0278,1.98e-06,0.0928,163.824,-8.33,0.181,0.263,238520,0,alt-rock
0.616,0.387,6,1,0.0314,0.514,0.116,120.03,-11.813,0.227,0.435,249478,0,alt-rock
0.553,0.948,1,1,0.0634,0.0,0.812,125.267,-5.63,0.0114,0.746,186786,0,power-pop
0.435,0.962,7,1,0.0461,3.87e-06,0.201,138.865,-5.594,0.216,0.575,217013,0,power-pop
0.598,0.95,2,1,0.0848,0.000388,0.154,105.267,-3.358,0.00167,0.577,215000,0,alt-rock
